pass	max_cost_b	mean_cost_b	min_cost_b	max_cost_f	mean_cost_f	min_cost_f	max_cost_r	mean_cost_r	min_cost_r	max_cost_w	mean_cost_w	min_cost_w
21	53.67364413533277	51.6	49.52635586466723	65.34728827066554	61.2	57.05271172933446	56.914482300479484	53.8	50.68551769952051	59.5466401061363	56.2	52.853359893863704
22	53.70217288664426	51.4	49.097827113355734	63.90713558335003	60.4	56.892864416649964	55.08220700148449	52.0	48.91779299851551	56.47364413533277	54.4	52.32635586466723
23	53.70217288664426	51.4	49.097827113355734	63.90713558335003	60.4	56.892864416649964	55.08220700148449	52.0	48.91779299851551	56.47364413533277	54.4	52.32635586466723
24	53.70217288664426	51.4	49.097827113355734	63.90713558335003	60.4	56.892864416649964	54.574887385102315	51.8	49.02511261489768	56.47364413533277	54.4	52.32635586466723
25	53.70217288664426	51.4	49.097827113355734	63.90713558335003	60.4	56.892864416649964	54.574887385102315	51.8	49.02511261489768	56.47364413533277	54.4	52.32635586466723
26	53.70217288664426	51.4	49.097827113355734	63.90713558335003	60.4	56.892864416649964	54.10998007960223	51.6	49.09001992039777	56.47364413533277	54.4	52.32635586466723
27	53.70217288664426	51.4	49.097827113355734	63.90713558335003	60.4	56.892864416649964	54.10998007960223	51.6	49.09001992039777	56.47364413533277	54.4	52.32635586466723
28	53.70217288664426	51.4	49.097827113355734	63.807886552931954	60.0	56.192113447068046	53.88328157299975	51.2	48.51671842700026	56.47364413533277	54.4	52.32635586466723
29	53.70217288664426	51.4	49.097827113355734	63.807886552931954	60.0	56.192113447068046	53.88328157299975	51.2	48.51671842700026	56.47364413533277	54.4	52.32635586466723
30	53.70217288664426	51.4	49.097827113355734	63.162322551231796	59.2	55.23767744876821	53.88328157299975	51.2	48.51671842700026	56.36794833886788	54.2	52.03205166113212
31	53.70217288664426	51.4	49.097827113355734	63.162322551231796	59.2	55.23767744876821	53.88328157299975	51.2	48.51671842700026	56.36794833886788	54.2	52.03205166113212
32	53.82842712474619	51.0	48.17157287525381	62.447076812334274	58.6	54.75292318766573	52.90998007960223	50.4	47.89001992039777	55.97488738510232	53.2	50.425112614897685
33	53.82842712474619	51.0	48.17157287525381	62.447076812334274	58.6	54.75292318766573	52.90998007960223	50.4	47.89001992039777	55.97488738510232	53.2	50.425112614897685
34	53.82842712474619	51.0	48.17157287525381	62.1815340802378	58.4	54.618465919762194	52.90998007960223	50.4	47.89001992039777	55.30185121722126	52.6	49.89814878277874
35	53.82842712474619	51.0	48.17157287525381	62.1815340802378	58.4	54.618465919762194	52.90998007960223	50.4	47.89001992039777	55.30185121722126	52.6	49.89814878277874
36	53.48328157299974	50.8	48.11671842700025	62.162322551231796	58.2	54.23767744876821	52.90998007960223	50.4	47.89001992039777	55.10185121722126	52.4	49.69814878277874
37	53.48328157299974	50.8	48.11671842700025	62.162322551231796	58.2	54.23767744876821	52.90998007960223	50.4	47.89001992039777	55.10185121722126	52.4	49.69814878277874
38	53.207680962081064	50.6	47.99231903791894	62.242640687119284	58.0	53.757359312880716	52.73861278752583	50.0	47.26138721247417	55.06356421265527	52.2	49.33643578734473
