pass	max_cost_b	mean_cost_b	min_cost_b	max_cost_f	mean_cost_f	min_cost_f	max_cost_r	mean_cost_r	min_cost_r	max_cost_w	mean_cost_w	min_cost_w
33	104.24977063737548	98.8	93.35022936262452	130.24105255059484	123.4	116.55894744940518	109.99102047231298	102.2	94.40897952768702	111.7637059362411	108.2	104.63629406375891
34	104.12712842531054	98.4	92.67287157468947	128.08669766125215	120.2	112.31330233874786	104.04807660688539	98.2	92.35192339311462	111.28656334834051	107.2	103.1134366516595
35	104.12712842531054	98.4	92.67287157468947	130.58287544405155	123.0	115.41712455594845	106.51920240520265	100.0	93.48079759479735	111.41588043316392	107.0	102.58411956683608
36	104.12712842531054	98.4	92.67287157468947	128.7848704125339	120.2	111.6151295874661	103.70737259384099	97.6	91.492627406159	111.00713679359252	106.8	102.59286320640747
37	104.12712842531054	98.4	92.67287157468947	128.29915248150107	122.4	116.50084751849896	103.24037034920393	100.0	96.75962965079607	111.8865633483405	107.8	103.71343665165949
38	104.12712842531054	98.4	92.67287157468947	125.44204936336256	119.0	112.55795063663744	103.09901951359278	98.0	92.90098048640722	111.55932686861709	107.4	103.24067313138292
39	104.01294744108974	98.6	93.18705255891025	126.12712842531054	120.4	114.67287157468947	107.78869937870631	101.6	95.41130062129368	111.74972526643093	107.2	102.65027473356908
40	104.01294744108974	98.6	93.18705255891025	124.10384501660363	117.6	111.09615498339636	103.87257053058562	98.6	93.32742946941437	111.30116263352132	107.0	102.69883736647868
41	103.91839138219832	98.2	92.48160861780168	131.4594765651526	124.2	116.94052343484739	102.23914887194867	96.6	90.96085112805132	109.8865633483405	105.8	101.71343665165949
42	103.74456264653803	98.0	92.25543735346197	126.58749021908633	118.6	110.61250978091365	101.20370243444252	95.8	90.39629756555748	108.17770876399966	104.6	101.02229123600033
43	103.85805249234438	97.8	91.74194750765561	126.47722557505166	121.0	115.52277442494834	101.43139024560011	96.0	90.56860975439989	107.83318042491699	104.2	100.56681957508302
44	103.85805249234438	97.8	91.74194750765561	124.16967634711021	116.6	109.03032365288978	101.09067059000927	95.2	89.30932940999074	107.76232255123179	103.8	99.8376774487682
45	103.85805249234438	97.8	91.74194750765561	128.04307638777365	119.2	110.35692361222634	100.6190046219458	96.4	92.1809953780542	107.7637059362411	104.2	100.63629406375891
46	103.85805249234438	97.8	91.74194750765561	122.49224929059886	115.4	108.30775070940115	101.0630789467763	95.8	90.5369210532237	107.36370593624109	103.8	100.2362940637589
47	103.85805249234438	97.8	91.74194750765561	124.58869937870632	118.4	112.21130062129369	101.81996015920444	96.8	91.78003984079555	106.83511280746355	103.4	99.96488719253647
48	103.85805249234438	97.8	91.74194750765561	122.23544366752843	114.6	106.96455633247156	101.42494813255684	95.4	89.37505186744318	106.80788655293196	103.0	99.19211344706804
49	103.85805249234438	97.8	91.74194750765561	127.77312669668102	119.6	111.42687330331897	101.34075807087802	95.8	90.25924192912197	106.90135110466436	103.2	99.49864889533565
50	103.85805249234438	97.8	91.74194750765561	121.27749954561976	114.4	107.52250045438025	100.71977443130817	95.4	90.08022556869184	106.90135110466436	103.2	99.49864889533565
51	103.85805249234438	97.8	91.74194750765561	126.16530746332688	118.4	110.63469253667313	100.69067059000925	94.8	88.90932940999075	106.80788655293196	103.0	99.19211344706804
52	103.85805249234438	97.8	91.74194750765561	123.0026311234993	115.4	107.79736887650071	100.62494813255682	94.6	88.57505186744316	106.80788655293196	103.0	99.19211344706804
53	103.85805249234438	97.8	91.74194750765561	124.74817045957575	118.6	112.45182954042424	100.62494813255682	94.6	88.57505186744316	106.80788655293196	103.0	99.19211344706804
54	103.85805249234438	97.8	91.74194750765561	122.8027022093287	115.4	107.99729779067131	100.62494813255682	94.6	88.57505186744316	106.80788655293196	103.0	99.19211344706804
55	103.85805249234438	97.8	91.74194750765561	125.25755371638517	118.8	112.34244628361482	100.58869937870632	94.4	88.21130062129369	106.80788655293196	103.0	99.19211344706804
56	103.85805249234438	97.8	91.74194750765561	122.84219357067906	115.0	107.15780642932094	100.58869937870632	94.4	88.21130062129369	106.2928498393146	102.8	99.3071501606854
57	103.85805249234438	97.8	91.74194750765561	124.44830805543786	117.8	111.15169194456213	100.58869937870632	94.4	88.21130062129369	106.3815340802378	102.6	98.81846591976219
58	103.85805249234438	97.8	91.74194750765561	123.57321409974112	115.0	106.42678590025888	100.58869937870632	94.4	88.21130062129369	106.3815340802378	102.6	98.81846591976219
59	103.85805249234438	97.8	91.74194750765561	121.62494019104525	116.4	111.17505980895476	100.58869937870632	94.4	88.21130062129369	106.74165738677394	103.0	99.25834261322606
60	103.85805249234438	97.8	91.74194750765561	121.24568837309472	114.0	106.75431162690528	100.58869937870632	94.4	88.21130062129369	106.3815340802378	102.6	98.81846591976219
