pass	max_cost_b	mean_cost_b	min_cost_b	max_cost_f	mean_cost_f	min_cost_f	max_cost_r	mean_cost_r	min_cost_r	max_cost_w	mean_cost_w	min_cost_w
31	58.90135110466435	55.2	51.498648895335656	67.69878030638384	63.6	59.501219693616164	58.4431676725155	56.8	55.156832327484494	58.70217288664427	56.4	54.09782711335573
32	56.035112807463534	52.6	49.16488719253647	61.36370593624109	57.8	54.236294063758905	53.68997991959775	51.2	48.71002008040226	56.28323969741913	54.8	53.31676030258087
33	57.44948974278318	55.0	52.55051025721682	70.29444101084884	65.8	61.30555898915115	58.89544511501033	57.8	56.70455488498966	58.0	56.0	54.0
34	56.620526275297415	53.2	49.77947372470259	60.123538406167135	58.2	56.27646159383287	53.54950975679639	51.0	48.45049024320361	57.47364413533277	55.4	53.32635586466723
35	56.10998007960223	53.6	51.09001992039777	67.53553390593274	64.0	60.46446609406726	61.207680962081064	58.6	55.99231903791894	57.58885438199983	55.8	54.011145618000164
36	56.24037034920393	53.0	49.75962965079607	61.06356421265527	58.2	55.33643578734473	53.70217288664426	51.4	49.097827113355734	56.10384048104053	54.8	53.496159518959466
37	56.809361307176246	53.6	50.39063869282376	66.08035085019827	63.8	61.51964914980172	58.41421356237309	57.0	55.58578643762691	56.58113883008419	55.0	53.41886116991581
38	56.07108544675922	52.8	49.528914553240774	59.273320053068154	57.6	55.92667994693185	52.74017542509914	51.6	50.459824574900864	55.941640786499875	54.6	53.25835921350013
39	56.48035085019828	54.2	51.91964914980173	65.73861278752582	63.0	60.26138721247417	60.58746727726267	58.2	55.81253272273734	57.21659021245849	55.4	53.583409787541505
40	56.14957624075053	53.2	50.25042375924948	59.47364413533277	57.4	55.32635586466723	54.23315017762062	51.2	48.16684982237938	56.988854381999836	55.2	53.41114561800017
41	57.471085446759226	54.2	50.92891455324078	67.11483512420133	63.4	59.685164875798655	54.47364413533277	52.4	50.32635586466723	54.707106781186546	54.0	53.292893218813454
42	54.47364413533277	52.4	50.32635586466723	60.29284983931459	56.8	53.3071501606854	51.44316767251549	49.8	48.1568323274845	54.707106781186546	54.0	53.292893218813454
43	55.349358868961794	53.4	51.4506411310382	67.7304951684997	64.6	61.46950483150029	55.273320053068154	53.6	51.92667994693185	54.707106781186546	54.0	53.292893218813454
44	54.47364413533277	52.4	50.32635586466723	58.78843582110896	56.2	53.611564178891044	51.732050807568875	50.0	48.267949192431125	54.707106781186546	54.0	53.292893218813454
45	59.29284983931459	55.8	52.3071501606854	66.00768096208105	63.4	60.792319037918936	55.807886552931954	52.0	48.192113447068046	55.03666002653408	54.2	53.363339973465926
46	54.96794833886788	52.8	50.63205166113212	60.381534080237806	56.6	52.8184659197622	51.273320053068154	49.6	47.92667994693185	54.707106781186546	54.0	53.292893218813454
47	57.366479394838265	54.4	51.43352060516173	69.11934955049954	64.2	59.28065044950046	55.70217288664426	53.4	51.097827113355734	55.03666002653408	54.2	53.363339973465926
48	55.34520787991171	53.0	50.65479212008829	58.88328157299975	56.2	53.51671842700026	52.36794833886788	50.2	48.03205166113212	54.707106781186546	54.0	53.292893218813454
49	57.08220700148449	54.0	50.91779299851551	65.30185121722126	62.6	59.89814878277874	56.035112807463534	52.6	49.16488719253647	55.03666002653408	54.2	53.363339973465926
50	55.30185121722126	52.6	49.89814878277874	57.902172886644266	55.6	53.29782711335574	52.68997991959775	50.2	47.71002008040226	54.707106781186546	54.0	53.292893218813454
51	57.44959013639538	54.4	51.35040986360462	67.2928498393146	63.8	60.3071501606854	51.47364413533277	49.4	47.32635586466723	54.29442719099991	53.4	52.505572809000085
52	55.56647939483827	52.6	49.633520605161735	59.0	57.0	55.0	51.47364413533277	49.4	47.32635586466723	54.03666002653408	53.2	52.363339973465926
53	55.83315017762062	52.8	49.76684982237938	66.29150262212919	61.0	55.70849737787082	51.47364413533277	49.4	47.32635586466723	55.28323969741913	53.8	52.31676030258087
