pass	max_time_b	mean_time_b	min_time_b	max_time_f	mean_time_f	min_time_f	max_time_r	mean_time_r	min_time_r	max_time_w	mean_time_w	min_time_w
15	0.040032911589371306	0.03754820823669434	0.03506350488401737	0.7228354680536839	0.6911791801452637	0.6595228922368435	0.025791448261767706	0.025149154663085937	0.024506861064404167	0.04906001835034993	0.046426916122436525	0.043793813894523116
16	0.039542758608722965	0.03846096992492676	0.03737918124113055	0.6867181218507108	0.6781077861785889	0.669497450506467	0.025692569013115965	0.025387954711914063	0.02508334041071216	0.04619526361408588	0.045416641235351565	0.04463801885661725
17	0.04087723322737177	0.03943114280700684	0.037985052386641904	0.6945521830792415	0.6742474555969238	0.6539427281146061	0.02591016414500533	0.025233936309814454	0.024557708474623578	0.04936188488131465	0.04592008590698242	0.04247828693265019
18	0.03950272540452989	0.03816137313842773	0.036820020872325575	0.7292467594707063	0.678371810913086	0.6274968623554656	0.025502478383532257	0.02506098747253418	0.0246194965615361	0.047673797874726594	0.04503688812255859	0.04239997837039059
19	0.039893660613566875	0.0380803108215332	0.03626696102949953	0.71503056745783	0.6784053325653077	0.6417800976727853	0.026574172440696323	0.02513566017150879	0.023697147902321258	0.0480812824951657	0.04639492034912109	0.04470855820307648
20	0.04039362424082224	0.0381779670715332	0.035962309902244166	0.6934591700181967	0.6720720767974854	0.6506849835767741	0.025246125961684077	0.024395513534545898	0.023544901107407718	0.047366377673279315	0.04580001831054688	0.04423365894781444
21	0.0996871861261442	0.0963141918182373	0.0929411975103304	0.690820057652658	0.6717078208923339	0.6525955841320099	0.03308208126624903	0.03215060234069824	0.031219123415147453	0.12523893883759551	0.11921143531799316	0.11318393179839083
22	0.10583769931385931	0.10210533142089843	0.09837296352793756	0.718382462400829	0.6740514278411865	0.629720393281544	0.031990933198684054	0.031148338317871095	0.03030574343705814	0.12587522047074357	0.11710023880004883	0.10832525712935409
23	0.09954478120567335	0.09710426330566406	0.09466374540565477	0.722951702066973	0.6820837974548339	0.6412158928426949	0.03321194233318112	0.03124265670776367	0.02927337108234622	0.1267879799958063	0.11885643005371094	0.11092488011161558
24	0.09964789496895392	0.09678158760070801	0.09391528023246211	0.7255340471626394	0.6923924446105957	0.659250842058552	0.03234761531760896	0.03134608268737793	0.0303445500571469	0.12634479987263267	0.11863927841186524	0.1109337569510978
25	0.1123631553576215	0.10296955108642578	0.09357594681523006	0.6926481086172915	0.6770799636840821	0.6615118187508726	0.034522406054571436	0.03213028907775879	0.02973817210094615	0.1294751645616648	0.11943445205688477	0.10939373955210473
26	0.10521504363337905	0.1008211612701416	0.09642727890690414	0.6962063771094653	0.6739932060241699	0.6517800349388745	0.04605829231329078	0.03597931861877442	0.02590034492425805	0.12497741320985602	0.11842164993286133	0.11186588665586665
27	0.12258137960617571	0.10571837425231934	0.08885536889846296	0.6899044180720408	0.6661934375762939	0.642482457080547	0.05797214599653399	0.039790916442871097	0.021609686889208203	0.1336583797367843	0.12229695320129394	0.11093552666580359
28	0.10239576930251892	0.09825520515441895	0.09411464100631897	0.7484123587009197	0.704958438873291	0.6615045190456623	0.03784262721511039	0.03392834663391113	0.03001406605271187	0.12353551100768506	0.11958732604980468	0.1156391410919243
29	0.10516605218591756	0.09889521598815917	0.0926243797904008	0.7598319964447221	0.698714017868042	0.6375960392913619	0.03631022074796672	0.03348064422607422	0.030651067704181717	0.12490700583300096	0.11906285285949707	0.11321869988599317
30	0.11493238545388493	0.10566315650939942	0.09639392756491391	0.7406212932470211	0.7026750087738037	0.6647287243005864	0.037011409159893705	0.033671092987060544	0.03033077681422738	0.1278975200768036	0.1207040786743164	0.1135106372718292
